"Genre,Momento,Count"
"pop,Trabajando,13"
"pop,Cocinando,7"
"pop,Antes dormir,7"
"pop,Al despertar,5"
"pop,Manejando,2"
"rock,Trabajando,10"
"rock,Cocinando,5"
"rock,Antes dormir,2"
"rock,Al despertar,5"
"rock,Manejando,6"
"latina,Trabajando,4"
"latina,Cocinando,4"
"latina,Antes dormir,2"
"latina,Al despertar,2"
"latina,Manejando,3"
"kpop,Trabajando,7"
"kpop,Cocinando,3"
"kpop,Antes dormir,4"
"kpop,Al despertar,4"
"kpop,Manejando,0"
"hip hop,Trabajando,4"
"hip hop,Cocinando,2"
"hip hop,Antes dormir,0"
"hip hop,Al despertar,3"
"hip hop,Manejando,4"
"r&b,Trabajando,3"
"r&b,Cocinando,1"
"r&b,Antes dormir,0"
"r&b,Al despertar,2"
"r&b,Manejando,3"
"metal,Trabajando,1"
"metal,Cocinando,1"
"metal,Antes dormir,1"
"metal,Al despertar,1"
"metal,Manejando,1"
"instrumental,Trabajando,2"
"instrumental,Cocinando,1"
"instrumental,Antes dormir,2"
"instrumental,Al despertar,0"
"instrumental,Manejando,0"
