Fecha,Genero,Escucha_diaria_1_10,Generos_musicales,Momento_escucha
"2 May 2026 18:57,Masculino,6,""pop | latina | instrumental | japonesa"",""Trabajando o Estudiando | Antes de ir a dormir"""
"2 May 2026 18:41,Femenino,10,""kpop | pop | hip hop | rock"",""Al despertar | Trabajando o Estudiando | Al cocinar"""
"2 May 2026 18:40,Femenino,10,""pop | kpop"",""Antes de ir a dormir | Trabajando o Estudiando"""
2 May 2026 18:37,Femenino,10,latina,Al cocinar
"2 May 2026 18:33,Masculino,10,""pop | hip hop | rock | R&B | latina"",""Trabajando o Estudiando | Al despertar | Al cocinar | Al manejar"""
2 May 2026 18:28,Femenino,8,latina,Al manejar
"2 May 2026 18:21,Femenino,8,""kpop | pop | rock"",""Trabajando o Estudiando | Al despertar"""
"2 May 2026 18:21,Masculino,7,""pop | rock | andina"",""Trabajando o Estudiando | Al cocinar"""
"2 May 2026 18:16,Femenino,10,""pop | kpop | jazz | instrumental | rock | metal"",""Trabajando o Estudiando | Al cocinar | Antes de ir a dormir"""
"2 May 2026 18:10,Masculino,9,""rock | hip hop | R&B"",""Trabajando o Estudiando | Al manejar"""
"2 May 2026 18:04,Femenino,10,""pop | kpop"",""Trabajando o Estudiando | Antes de ir a dormir"""
"2 May 2026 17:58,Masculino,8,""rock | metal"",""Al manejar | Al despertar"""
"2 May 2026 17:51,Masculino,7,""pop | rock | latina"",""Trabajando o Estudiando | Al manejar"""
"2 May 2026 17:45,Femenino,9,""kpop | pop"",""Al despertar | Trabajando o Estudiando | Antes de ir a dormir"""
"2 May 2026 17:39,Masculino,10,""rock | hip hop | R&B"",""Trabajando o Estudiando | Al despertar | Al manejar"""
"2 May 2026 17:33,Femenino,8,""pop | latina"",""Antes de ir a dormir | Al cocinar"""
"2 May 2026 17:27,Masculino,6,""rock | hip hop"",""Al manejar"""
"2 May 2026 17:20,Masculino,9,""pop | rock | andina"",""Trabajando o Estudiando | Al cocinar"""
"2 May 2026 17:14,Femenino,10,""pop | kpop | latina"",""Trabajando o Estudiando | Al despertar | Al cocinar"""
"2 May 2026 17:08,Masculino,8,""pop | Dance/Electronic | rock"",""Trabajando o Estudiando | Antes de ir a dormir"""
