"ID,Genero,Momento"
"resp_0,Masculino,Trabajando"
"resp_0,Masculino,Antes dormir"
"resp_1,Femenino,Al despertar"
"resp_1,Femenino,Trabajando"
"resp_1,Femenino,Cocinando"
"resp_2,Femenino,Antes dormir"
"resp_2,Femenino,Trabajando"
"resp_3,Femenino,Cocinando"
"resp_4,Masculino,Trabajando"
"resp_4,Masculino,Al despertar"
"resp_4,Masculino,Cocinando"
"resp_4,Masculino,Manejando"
"resp_5,Femenino,Manejando"
"resp_6,Femenino,Trabajando"
"resp_6,Femenino,Al despertar"
"resp_7,Masculino,Trabajando"
"resp_7,Masculino,Cocinando"
"resp_8,Femenino,Trabajando"
"resp_8,Femenino,Cocinando"
"resp_8,Femenino,Antes dormir"
"resp_9,Masculino,Trabajando"
"resp_9,Masculino,Manejando"
"resp_10,Femenino,Trabajando"
"resp_10,Femenino,Antes dormir"
"resp_11,Masculino,Manejando"
"resp_11,Masculino,Al despertar"
"resp_12,Masculino,Trabajando"
"resp_12,Masculino,Manejando"
"resp_13,Femenino,Al despertar"
"resp_13,Femenino,Trabajando"
"resp_13,Femenino,Antes dormir"
"resp_14,Masculino,Trabajando"
"resp_14,Masculino,Al despertar"
"resp_14,Masculino,Manejando"
"resp_15,Femenino,Antes dormir"
"resp_15,Femenino,Cocinando"
"resp_16,Masculino,Manejando"
"resp_17,Masculino,Trabajando"
"resp_17,Masculino,Cocinando"
"resp_18,Femenino,Trabajando"
"resp_18,Femenino,Al despertar"
"resp_18,Femenino,Cocinando"
"resp_19,Masculino,Trabajando"
"resp_19,Masculino,Antes dormir"
